canton,id_ofs,name,capital
ZH,101,Bezirk Affoltern,Affoltern am Albis
ZH,102,Bezirk Andelfingen,Andelfingen
ZH,103,Bezirk Bülach,Bulach
ZH,104,Bezirk Dielsdorf,Dielsdorf
ZH,105,Bezirk Hinwil,Hinwil
ZH,106,Bezirk Horgen,Horgen
ZH,107,Bezirk Meilen,Meilen
ZH,108,Bezirk Pfäffikon,Pfaffikon
ZH,109,Bezirk Uster,Uster
ZH,110,Bezirk Winterthur,Winterthur
ZH,111,Bezirk Dietikon,Dietikon
ZH,112,Bezirk Zürich,Zurich
BE,241,Arrondissement administratif Jura bernois,Courtelary
BE,242,Verwaltungskreis Biel/Bienne,Biel
BE,243,Verwaltungskreis Seeland,Aarberg
BE,244,Verwaltungskreis Oberaargau,Wangen an der Aare
BE,245,Verwaltungskreis Emmental,Burgdorf
BE,246,Verwaltungskreis Bern-Mittelland,Ostermundigen
BE,247,Verwaltungskreis Thun,Thun
BE,248,Verwaltungskreis Obersimmental-Saanen,Saanen
BE,249,Verwaltungskreis Frutigen-Niedersimmental,Frutigen
BE,250,Verwaltungskreis Interlaken-Oberhasli,Interlaken
LU,311,Wahlkreis Luzern-Stadt,Luzern
LU,312,Wahlkreis Luzern-Land,Krienz
LU,313,Wahlkreis Hochdorf,Hochdorf
LU,314,Wahlkreis Sursee,Sursee
LU,315,Wahlkreis Willisau,Willisau
LU,316,Wahlkreis Entlebuch,Schupfheim
UR,400,Kanton Uri,Altdorf
SZ,501,Bezirk Einsiedeln,Einsiedeln
SZ,502,Bezirk Gersau,Gersau
SZ,503,Bezirk Höfe,Wollerau
SZ,504,Bezirk Küssnacht (SZ),Kussnacht
SZ,505,Bezirk March,Lachen
SZ,506,Bezirk Schwyz,Schwyz
OW,600,Kanton Obwalden,Sarnen
NW,700,Kanton Nidwalden,Stans
GL,800,Kanton Glarus,Glarus
ZG,900,Kanton Zug,Zug
FR,1001,District de la Broye,Estavayer-le-Lac
FR,1002,District de la Glâne,Romont
FR,1003,District de la Gruyère,Bulle
FR,1004,District de la Sarine,Fribourg
FR,1005,Bezirk See / District du Lac,Morat
FR,1006,Bezirk Sense,Tafers
FR,1007,District de la Veveyse,Chatel-Saint-Denis
SO,1101,Bezirk Gäu,Balsthal
SO,1102,Bezirk Thal,Balsthal
SO,1103,Bezirk Bucheggberg,Messen
SO,1104,Bezirk Dorneck,Dornach
SO,1105,Bezirk Gösgen,Niedergosgen
SO,1106,Bezirk Wasseramt,Kriegstetten
SO,1107,Bezirk Lebern,Grenchen
SO,1108,Bezirk Olten,Olten
SO,1109,Bezirk Solothurn,Solothurn
SO,1110,Bezirk Thierstein,Breitenbach
BS,1200,Kanton Basel-Stadt,Basel
BL,1301,Bezirk Arlesheim,Arlesheim
BL,1302,Bezirk Laufen,Laufen
BL,1303,Bezirk Liestal,Liestal
BL,1304,Bezirk Sissach,Sissach
BL,1305,Bezirk Waldenburg,Waldenburg
SH,1401,Bezirk Oberklettgau,Neunkirch
SH,1402,Bezirk Reiat,Thayngen
SH,1403,Bezirk Schaffhausen,Schaffhausen
SH,1404,Bezirk Schleitheim,Schleitheim
SH,1405,Bezirk Stein,Stein am Rhein
SH,1406,Bezirk Unterklettgau,Hallau
AR,1501,Bezirk Hinterland,Herisau
AR,1502,Bezirk Mittelland,Trogen
AR,1503,Bezirk Vorderland,Heiden
AI,1600,Kanton Appenzell Innerrhoden,Appenzell
SG,1721,Wahlkreis St. Gallen,saint gallen
SG,1722,Wahlkreis Rorschach,Goldach
SG,1723,Wahlkreis Rheintal,Altstatten
SG,1724,Wahlkreis Werdenberg,Buchs
SG,1725,Wahlkreis Sarganserland,Sargans
SG,1726,Wahlkreis See-Gaster,Rapperswil
SG,1727,Wahlkreis Toggenburg,Lichtensteig
SG,1728,Wahlkreis Wil,Wil
GR,1821,Region Albula,Tiefencastel
GR,1822,Region Bernina,Poschiavo
GR,1823,Region Engiadina Bassa / Val Müstair,Scuol
GR,1824,Region Imboden,Domat
GR,1825,Region Landquart,Landquart
GR,1826,Region Maloja,Samedan
GR,1827,Region Moesa,Roveredo
GR,1828,Region Plessur,Chur
GR,1829,Region Prättigau / Davos,Davos dorf
GR,1830,Region Surselva,Ilanz
GR,1831,Region Viamala,Thusis
AG,1901,Bezirk Aarau,Aarau
AG,1902,Bezirk Baden,Baden
AG,1903,Bezirk Bremgarten,Bremgarten
AG,1904,Bezirk Brugg,Brugg
AG,1905,Bezirk Kulm,Unterkulm
AG,1906,Bezirk Laufenburg,Laufenburg
AG,1907,Bezirk Lenzburg,Lenzburg
AG,1908,Bezirk Muri,Muri
AG,1909,Bezirk Rheinfelden,Rheinfelden
AG,1910,Bezirk Zofingen,Zofingen
AG,1911,Bezirk Zurzach,Zurzach
TG,2011,Bezirk Arbon,Arbon
TG,2012,Bezirk Frauenfeld,Frauenfeld
TG,2013,Bezirk Kreuzlingen,Kreuzlingen
TG,2014,Bezirk Münchwilen,Munchwilen
TG,2015,Bezirk Weinfelden,Weinfelden
TI,2101,Distretto di Bellinzona,Bellinzona
TI,2102,Distretto di Blenio,Acquarossa
TI,2103,Distretto di Leventina,Faido
TI,2104,Distretto di Locarno,Locarno
TI,2105,Distretto di Lugano,Lugano
TI,2106,Distretto di Mendrisio,Mendrisio
TI,2107,Distretto di Riviera,Biasca
